,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Mcm3,0.46272174,0.38368976,0.45319098,0.32628363,0.32628363,0.4002362,0.28527322,0.3796998,0.5030638,0.47725618,0.3740439,0.36668462,0.52566713,0.49822003,0.42118612,0.45309654,0.45040637,0.44744366,0.2488355,0.32326746,0.33386898,0.35044903,0.20722091,0.12457688,0.23602667,0.16155839,0.14014712,0.13119578,0.28298026,0.22907421,0.23922336,0.27960277,0.40101314,0.21570116,0.15775058,0.25631812,0.20813301,0.18319194,0.18160544
Tram2,0.0,0.053929687,0.053929687,0.0,0.0,0.0,0.0,0.058733877,0.058733877,0.058733877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10438271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ogfrl1,0.31063813,0.31351456,0.25799537,0.25534472,0.32995185,0.30490145,0.25988558,0.22940993,0.33077294,0.29762805,0.3407479,0.25121582,0.21840255,0.1798706,0.08978689,0.049205735,0.05746728,0.265702,0.32805324,0.22348358,0.15603667,0.17550197,0.0,0.14445081,0.4139306,0.31998318,0.08627923,0.27659303,0.2945202,0.24164787,0.22350745,0.08993664,0.08993664,0.10126877,0.0,0.0,0.0,0.0,0.11469269
Smap1,0.19569616,0.06479914,0.191145,0.13333288,0.13333288,0.17102349,0.095077455,0.037690617,0.08147037,0.04066055,0.08334245,0.17602958,0.18447238,0.2100794,0.28389937,0.34183288,0.18085684,0.05946988,0.05946988,0.05946988,0.06406618,0.0,0.0689313,0.14009044,0.12278529,0.17617261,0.21695565,0.47002846,0.33901137,0.07591912,0.08253697,0.08253697,0.109056905,0.21032567,0.10936924,0.10936924,0.0,0.0,0.0
Sdhaf4,0.19641784,0.18117279,0.18736663,0.16081254,0.23541966,0.24724005,0.28853196,0.43553355,0.4450203,0.30526304,0.20841539,0.08378041,0.14197749,0.31417927,0.26817235,0.22092147,0.14418414,0.052277274,0.062351227,0.12086481,0.3334333,0.39334604,0.16984609,0.09816334,0.4578943,0.40903416,0.48802322,0.46485898,0.66532224,0.38582814,0.21364684,0.21561643,0.22306836,0.1380758,0.112688065,0.2897879,0.07912182,0.22356692,0.34587333
Phf3,0.0,0.04457405,0.04457405,0.04457405,0.04457405,0.087937005,0.087937005,0.087937005,0.037690617,0.0,0.0426819,0.10876438,0.10876438,0.0,0.05845095,0.05845095,0.11072822,0.052277274,0.0,0.0,0.0,0.0,0.0,0.0,0.078558825,0.0,0.0,0.0,0.0,0.0,0.18764293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prim2,0.054303553,0.15155828,0.15274778,0.28824013,0.28824013,0.37617713,0.4691439,0.21821451,0.16796812,0.15992178,0.15992178,0.30581382,0.27642873,0.08978689,0.18009298,0.09792541,0.04871967,0.0,0.0,0.06647442,0.25835466,0.30652943,0.13682021,0.0,0.078558825,0.12866649,0.120493434,0.120493434,0.0,0.0,0.0,0.0,0.0,0.0,0.099673904,0.099673904,0.19752276,0.10956546,0.0
Bag2,0.048419934,0.3297841,0.37707064,0.17995477,0.17995477,0.05738684,0.12781754,0.18289748,0.24311152,0.21334137,0.2239871,0.12646231,0.0426819,0.09258422,0.18768133,0.18768133,0.1382843,0.0,0.062351227,0.13521236,0.06362837,0.06362837,0.06362837,0.0,0.0815656,0.13495293,0.10683531,0.12236263,0.233329,0.08084252,0.16995358,0.09055691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zfp451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04282504,0.04282504,0.04282504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062351227,0.062351227,0.0,0.0,0.0,0.0,0.0,0.08055705,0.08055705,0.18421498,0.10940843,0.073576055,0.0,0.08993664,0.08993664,0.0,0.0,0.0,0.0,0.0,0.0
Ccdc115,0.19991843,0.28015682,0.12864631,0.08673296,0.04617656,0.13411357,0.20454426,0.19850317,0.30175996,0.18899816,0.23168007,0.27399945,0.24189532,0.16110015,0.17430705,0.0950971,0.21722838,0.12213128,0.12213128,0.2071041,0.27651304,0.13519727,0.2895067,0.16218358,0.21361735,0.09161128,0.107315876,0.07480655,0.2360948,0.30713665,0.23526448,0.105891466,0.22032386,0.60285836,0.5664253,0.38262942,0.21245667,0.10707339,0.0
